-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.013,  0.115
-183.800, 80.199, 0.036,  0.148
-183.800, 80.197, 0.036,  0.181
-183.800, 80.196, 0.041,  0.214
-183.800, 80.193, 0.104,  0.247
-183.801, 80.186, 0.239,  0.280
-183.801, 80.175, 0.325,  0.313
-183.801, 80.160, 0.459,  0.346
-183.801, 80.141, 0.580,  0.379
-183.802, 80.118, 0.701,  0.412
-183.802, 80.089, 0.891,  0.445
-183.802, 80.051, 1.172,  0.478
-183.802, 80.004, 1.414,  0.511
-183.803, 79.950, 1.609,  0.544
-183.803, 79.893, 1.741,  0.577
-183.803, 79.833, 1.788,  0.610
-183.804, 79.774, 1.763,  0.643
-183.804, 79.718, 1.700,  0.676
-183.804, 79.664, 1.639,  0.709
-183.804, 79.613, 1.586,  0.742
-183.804, 79.562, 1.540,  0.775
-183.805, 79.513, 1.495,  0.808
-183.805, 79.465, 1.450,  0.841
-183.805, 79.419, 1.410,  0.874
-183.805, 79.373, 1.377,  0.907
-183.805, 79.329, 1.353,  0.940
-183.805, 79.285, 1.339,  0.973
-183.805, 79.240, 1.335,  1.006
-183.806, 79.196, 1.341,  1.039
-183.806, 79.151, 1.355,  1.072
-183.806, 79.105, 1.377,  1.105
-183.806, 79.059, 1.402,  1.138
-183.806, 79.011, 1.429,  1.171
-183.806, 78.963, 1.456,  1.204
-183.807, 78.914, 1.480,  1.237
-183.807, 78.864, 1.500,  1.270
-183.807, 78.813, 1.515,  1.303
-183.807, 78.762, 1.525,  1.336
-183.807, 78.712, 1.531,  1.369
-183.807, 78.661, 1.533,  1.402
-183.808, 78.610, 1.533,  1.435
-183.808, 78.559, 1.530,  1.468
-183.808, 78.508, 1.526,  1.501
-183.808, 78.457, 1.523,  1.534
-183.808, 78.407, 1.519,  1.567
-183.808, 78.356, 1.517,  1.600
-183.808, 78.306, 1.517,  1.633
-183.809, 78.255, 1.518,  1.666
-183.809, 78.205, 1.522,  1.699
-183.809, 78.154, 1.527,  1.732
